"benchmark_id","agent_id","level","passed","evaluated","pass_rate"
"","","L0","1","1","1.000000"
"","","L1","1","1","1.000000"
"","","L2","0","1","0.000000"
"","golden","L0","1","1","1.000000"
"","golden","L1","1","1","1.000000"
"","golden","L2","0","1","0.000000"
"swe_bench_verified","","L0","1","1","1.000000"
"swe_bench_verified","","L1","1","1","1.000000"
"swe_bench_verified","","L2","0","1","0.000000"
"swe_bench_verified","golden","L0","1","1","1.000000"
"swe_bench_verified","golden","L1","1","1","1.000000"
"swe_bench_verified","golden","L2","0","1","0.000000"
